telemetry_id,timestamp,cloud_account_id,resource_id,product_id,feature_id,business_unit,usage_type,usage_quantity,unit,freshness_timestamp
TEL-00091,2026-05-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-01,Clinical Analytics Platform,Data Processing,Clinical Analytics,Shared-K8s-Node-Hours,200,Node-Hours,2026-05-15T12:05:00Z
TEL-00092,2026-05-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-02,Medical Imaging Platform,Image Processing,Radiology,Shared-K8s-Node-Hours,450,Node-Hours,2026-05-15T12:05:00Z
TEL-00093,2026-05-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-02,Patient Portal,Notifications,Patient Portal,Shared-K8s-Node-Hours,350,Node-Hours,2026-05-15T12:05:00Z
TEL-00094,2026-05-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-02,Clinical Analytics Platform,Data Processing,Clinical Analytics,Shared-K8s-Node-Hours,200,Node-Hours,2026-05-15T12:05:00Z
TEL-00095,2026-05-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-03,Medical Imaging Platform,Image Processing,Radiology,Shared-K8s-Node-Hours,450,Node-Hours,2026-05-15T12:05:00Z
TEL-00096,2026-05-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-03,Patient Portal,Notifications,Patient Portal,Shared-K8s-Node-Hours,350,Node-Hours,2026-05-15T12:05:00Z
TEL-00097,2026-05-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-03,Clinical Analytics Platform,Data Processing,Clinical Analytics,Shared-K8s-Node-Hours,200,Node-Hours,2026-05-15T12:05:00Z
TEL-00098,2026-05-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-04,Medical Imaging Platform,Image Processing,Radiology,Shared-K8s-Node-Hours,450,Node-Hours,2026-05-15T12:05:00Z
TEL-00099,2026-05-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-04,Patient Portal,Notifications,Patient Portal,Shared-K8s-Node-Hours,350,Node-Hours,2026-05-15T12:05:00Z
TEL-00100,2026-05-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-04,Clinical Analytics Platform,Data Processing,Clinical Analytics,Shared-K8s-Node-Hours,200,Node-Hours,2026-05-15T12:05:00Z
TEL-00101,2026-05-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-05,Medical Imaging Platform,Image Processing,Radiology,Shared-K8s-Node-Hours,450,Node-Hours,2026-05-15T12:05:00Z
TEL-00102,2026-05-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-05,Patient Portal,Notifications,Patient Portal,Shared-K8s-Node-Hours,350,Node-Hours,2026-05-15T12:05:00Z
TEL-00103,2026-05-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-05,Clinical Analytics Platform,Data Processing,Clinical Analytics,Shared-K8s-Node-Hours,200,Node-Hours,2026-05-15T12:05:00Z
TEL-00104,2026-05-20T10:00:00Z,ACCT-SHARED,res-shared-gateway-01,Medical Imaging Platform,Image Retrieval,Radiology,Inter-Region-Data-GB,1250,GB,2026-05-20T10:05:00Z
TEL-00105,2026-05-20T10:00:00Z,ACCT-SHARED,res-shared-gateway-01,Emergency Services,Document Access,Emergency Services,Inter-Region-Data-GB,750,GB,2026-05-20T10:05:00Z
TEL-00106,2026-05-20T10:00:00Z,ACCT-SHARED,res-shared-gateway-02,Medical Imaging Platform,Image Retrieval,Radiology,Inter-Region-Data-GB,1250,GB,2026-05-20T10:05:00Z
TEL-00107,2026-05-20T10:00:00Z,ACCT-SHARED,res-shared-gateway-02,Emergency Services,Document Access,Emergency Services,Inter-Region-Data-GB,750,GB,2026-05-20T10:05:00Z
TEL-00108,2026-05-20T10:00:00Z,ACCT-SHARED,res-shared-gateway-03,Medical Imaging Platform,Image Retrieval,Radiology,Inter-Region-Data-GB,1250,GB,2026-05-20T10:05:00Z
TEL-00109,2026-05-20T10:00:00Z,ACCT-SHARED,res-shared-gateway-03,Emergency Services,Document Access,Emergency Services,Inter-Region-Data-GB,750,GB,2026-05-20T10:05:00Z
TEL-00110,2026-06-25T08:00:00Z,ACCT-ANALYTICS,res-analytics-node-005,Clinical Analytics Platform,Data Processing,Clinical Analytics,Memory-Optimized-Hours,680,Hours,2026-06-21T02:15:00Z
TEL-00111,2026-06-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-01,Medical Imaging Platform,Image Processing,Radiology,Shared-K8s-Node-Hours,450,Node-Hours,2026-06-15T12:05:00Z
TEL-00112,2026-06-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-01,Patient Portal,Notifications,Patient Portal,Shared-K8s-Node-Hours,350,Node-Hours,2026-06-15T12:05:00Z
TEL-00113,2026-06-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-01,Clinical Analytics Platform,Data Processing,Clinical Analytics,Shared-K8s-Node-Hours,200,Node-Hours,2026-06-15T12:05:00Z
TEL-00114,2026-06-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-02,Medical Imaging Platform,Image Processing,Radiology,Shared-K8s-Node-Hours,450,Node-Hours,2026-06-15T12:05:00Z
TEL-00115,2026-06-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-02,Patient Portal,Notifications,Patient Portal,Shared-K8s-Node-Hours,350,Node-Hours,2026-06-15T12:05:00Z
TEL-00116,2026-06-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-02,Clinical Analytics Platform,Data Processing,Clinical Analytics,Shared-K8s-Node-Hours,200,Node-Hours,2026-06-15T12:05:00Z
TEL-00117,2026-06-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-03,Medical Imaging Platform,Image Processing,Radiology,Shared-K8s-Node-Hours,450,Node-Hours,2026-06-15T12:05:00Z
TEL-00118,2026-06-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-03,Patient Portal,Notifications,Patient Portal,Shared-K8s-Node-Hours,350,Node-Hours,2026-06-15T12:05:00Z
TEL-00119,2026-06-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-03,Clinical Analytics Platform,Data Processing,Clinical Analytics,Shared-K8s-Node-Hours,200,Node-Hours,2026-06-15T12:05:00Z
TEL-00120,2026-06-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-04,Medical Imaging Platform,Image Processing,Radiology,Shared-K8s-Node-Hours,450,Node-Hours,2026-06-15T12:05:00Z
TEL-00121,2026-06-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-04,Patient Portal,Notifications,Patient Portal,Shared-K8s-Node-Hours,350,Node-Hours,2026-06-15T12:05:00Z
TEL-00122,2026-06-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-04,Clinical Analytics Platform,Data Processing,Clinical Analytics,Shared-K8s-Node-Hours,200,Node-Hours,2026-06-15T12:05:00Z
TEL-00123,2026-06-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-05,Medical Imaging Platform,Image Processing,Radiology,Shared-K8s-Node-Hours,450,Node-Hours,2026-06-15T12:05:00Z
TEL-00124,2026-06-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-05,Patient Portal,Notifications,Patient Portal,Shared-K8s-Node-Hours,350,Node-Hours,2026-06-15T12:05:00Z
TEL-00125,2026-06-15T12:00:00Z,ACCT-SHARED,res-shared-k8s-cluster-05,Clinical Analytics Platform,Data Processing,Clinical Analytics,Shared-K8s-Node-Hours,200,Node-Hours,2026-06-15T12:05:00Z
TEL-00126,2026-06-20T10:00:00Z,ACCT-SHARED,res-shared-gateway-01,Medical Imaging Platform,Image Retrieval,Radiology,Inter-Region-Data-GB,1250,GB,2026-06-20T10:05:00Z
TEL-00127,2026-06-20T10:00:00Z,ACCT-SHARED,res-shared-gateway-01,Emergency Services,Document Access,Emergency Services,Inter-Region-Data-GB,750,GB,2026-06-20T10:05:00Z
TEL-00128,2026-06-20T10:00:00Z,ACCT-SHARED,res-shared-gateway-02,Medical Imaging Platform,Image Retrieval,Radiology,Inter-Region-Data-GB,1250,GB,2026-06-20T10:05:00Z
TEL-00129,2026-06-20T10:00:00Z,ACCT-SHARED,res-shared-gateway-02,Emergency Services,Document Access,Emergency Services,Inter-Region-Data-GB,750,GB,2026-06-20T10:05:00Z
TEL-00130,2026-06-20T10:00:00Z,ACCT-SHARED,res-shared-gateway-03,Medical Imaging Platform,Image Retrieval,Radiology,Inter-Region-Data-GB,1250,GB,2026-06-20T10:05:00Z
TEL-00131,2026-06-20T10:00:00Z,ACCT-SHARED,res-shared-gateway-03,Emergency Services,Document Access,Emergency Services,Inter-Region-Data-GB,750,GB,2026-06-20T10:05:00Z
